x,expectation,model_output
1.152540, 18.379485, 18.299261
3.215141, 53.108575, 52.912935
0.743071, 16.546852, 16.907662
3.848869, 72.323242, 72.603272
1.414943, 20.436136, 20.359787
1.939485, 26.610578, 26.855710
2.789801, 42.466272, 42.417551
1.148459, 18.351454, 18.228649
0.707587, 16.465888, 16.810398
1.822423, 24.995272, 25.149421
0.947752, 17.251229, 17.308742
1.964534, 26.974712, 27.024945
3.765253, 69.559085, 69.165621
0.101235, 17.043904, 16.443173
2.645298, 39.259928, 39.512660
1.100323, 18.051234, 17.953285
1.722333, 23.721443, 23.767751
1.943973, 26.674004, 26.668655
1.782854, 24.477452, 24.518024
2.594662, 38.188898, 38.052969
1.188830, 18.622880, 18.458435
3.905303, 74.228951, 74.574651
3.905673, 74.242483, 73.751722
0.542578, 16.260696, 16.661040
0.614132, 16.315067, 16.702244
0.578959, 16.280830, 16.645053
1.103526, 18.070941, 17.934046
1.297226, 19.429344, 19.208858
1.316942, 19.585551, 19.422667
3.319403, 55.995639, 56.281509
1.012854, 17.564802, 17.577023
0.930308, 17.176420, 17.283892
2.552418, 37.310504, 37.142850
1.910233, 26.194807, 26.358450
0.294215, 16.461783, 16.472583
1.826243, 25.044159, 25.150054
3.994538, 77.307853, 77.207570
2.050608, 28.272121, 28.256542
2.962322, 46.563869, 46.561991
2.281735, 32.123590, 32.057284
1.006601, 17.533643, 17.532555
1.539538, 21.652723, 21.606544
1.941482, 26.637771, 26.742875
2.990884, 47.271758, 47.294647
0.076743, 17.145336, 16.426301
2.028581, 27.933314, 27.975334
0.224354, 16.631058, 16.491737
0.286633, 16.479194, 16.516509
3.791656, 70.423635, 71.076687
3.221085, 53.271920, 52.387032
2.005006, 27.576288, 27.845117
2.015032, 27.727047, 27.841847
0.725371, 16.502846, 16.835905
0.390836, 16.308829, 16.522942
2.166254, 30.133107, 30.149839
3.917390, 74.642772, 74.554811
1.615925, 22.477772, 22.389262
0.096667, 17.063659, 16.442589
0.490316, 16.249469, 16.610563
2.396180, 34.228445, 34.456614
1.206793, 18.747458, 18.515931
2.966857, 46.677024, 47.096522
0.974357, 17.376198, 17.388474
1.537211, 21.628015, 21.443274
3.127710, 50.773432, 50.474942
0.429269, 16.274933, 16.558960
2.619824, 38.717843, 38.743787
2.265508, 31.834239, 31.620263
3.188118, 52.380421, 52.676475
2.262043, 31.775178, 31.547220
2.075320, 28.658833, 28.682807
3.509500, 61.536084, 61.402261
0.462012, 16.256546, 16.575590
1.838210, 25.205150, 25.328093
2.505220, 36.355637, 36.392470
3.246564, 53.968417, 54.011356
3.534115, 62.280664, 62.258301
3.942594, 75.507365, 75.398386
1.059006, 17.811980, 17.749994
1.307682, 19.511468, 19.318756
1.287515, 19.351006, 19.202134
2.032661, 27.995827, 28.057405
1.319389, 19.606124, 19.484264
3.814888, 71.192938, 71.644042
1.604026, 22.342992, 22.418403
1.819972, 24.961269, 25.045335
3.099315, 50.032439, 49.684792
3.124859, 50.699813, 50.917275
3.353850, 56.971652, 56.598477
2.047066, 28.217723, 28.317374
3.967987, 76.385770, 76.003330
1.157698, 18.412961, 18.324466
1.049016, 17.758343, 17.774249
1.334721, 19.734427, 19.631501
0.876498, 16.957899, 17.185491
1.981951, 27.231533, 27.378793
3.537263, 62.374077, 63.132930
1.974561, 27.122576, 27.010885
2.261505, 31.765210, 31.541117
1.533055, 21.584474, 21.601085
